id,host_id,neighbourhood_group,neighbourhood,room_type,latitude,longitude,price,price_capped,price_log10,minimum_nights,minimum_nights_capped,number_of_reviews,number_of_reviews_ltm,reviews_per_month,calculated_host_listings_count,availability_365,last_review,license
584809281800066180,450051087,Isole,San Marco,Entire home/apt,45.4334429,12.3366206,198.0,198.0,2.296665190261531,1,1,336,106,8.74,3,162,2025-09-09,IT027042C2FJH9JA3S
585201888122355592,449905864,Terraferma,Piave 1860,Private room,45.48514,12.23345,90.0,90.0,1.9542425094393248,1,1,24,0,0.58,6,330,2023-08-05,IT027042B4BTP3H6NM
585232092661131272,2634978,Isole,Cannaregio,Entire home/apt,45.44067,12.34131,644.0,644.0,2.808885867359812,1,1,6,2,0.21,142,253,2024-11-10,IT027042B4Q48TH75Q
585972256359510467,296057703,Isole,Cannaregio,Entire home/apt,45.4432373046875,12.324947357177734,142.0,142.0,2.1522883443830563,2,2,181,97,4.39,1,330,2025-09-10,IT027042C2ZJ3EPV5F
587047216167742674,450510123,Isole,Cannaregio,Entire home/apt,45.439709,12.338962,91.0,91.0,1.9590413923210936,2,2,220,60,5.25,1,189,2025-08-23,IT027042C27TDI9BPT
587489671283960349,669047,Isole,Castello,Entire home/apt,45.43724,12.33895,308.0,308.0,2.4885507165004443,1,1,83,25,2.0,81,276,2025-09-10,IT027042C2C7U4R3BL
588174299314880689,414331600,Isole,Santa Croce,Private room,45.440361,12.32864,89.0,89.0,1.9493900066449128,1,1,319,72,7.65,5,231,2025-09-04,IT027042C2J89HLITQ
588221543970048936,422467091,Isole,Murano,Entire home/apt,45.458344,12.358577,137.0,137.0,2.1367205671564067,2,2,123,33,3.21,2,343,2025-09-08,IT027042C28Q3EYA9Y
588223687887200037,414331600,Isole,Santa Croce,Private room,45.440361,12.32864,84.0,84.0,1.9242792860618816,1,1,313,78,7.5,5,230,2025-09-09,IT027042C2J89HLITQ
588232980140593374,414331600,Isole,Santa Croce,Private room,45.440361,12.32864,84.0,84.0,1.9242792860618816,1,1,326,68,7.82,5,244,2025-09-09,IT027042C2J89HLITQ
588278372096106691,414331600,Isole,Santa Croce,Entire home/apt,45.440361,12.32864,339.0,339.0,2.530199698203082,1,1,101,48,2.48,5,205,2025-09-02,IT027042C2J89HLITQ
588520246172706154,4654704,Isole,Castello,Entire home/apt,45.43287,12.35791,243.0,243.0,2.385606273598312,2,2,83,14,2.03,20,75,2025-07-28,IT027042C2CLAT3YR9
588787587473096768,669047,Isole,San Marco,Entire home/apt,45.43775,12.3372,617.0,617.0,2.7902851640332416,1,1,189,60,4.55,81,276,2025-08-27,IT027042C2DQOXLP3U
590261016419385623,161333534,Isole,Cannaregio,Entire home/apt,45.44246,12.33423,224.0,224.0,2.3502480183341627,1,1,43,4,1.07,4,248,2025-07-08,IT027042B4QDABGTGK
590929873715915494,402017212,Isole,Castello,Entire home/apt,45.43680953979492,12.34981632232666,290.0,290.0,2.462397997898956,2,2,77,17,1.87,8,200,2025-08-09,IT027042B4CZ2JMTBX
590994641909116037,5332195,Isole,Castello,Private room,45.43245,12.35252,89.0,89.0,1.9493900066449128,4,4,86,17,2.08,3,57,2025-08-18,IT027042B4EVZI32NW
590995643758892468,5332195,Isole,Castello,Private room,45.43211,12.35399,108.0,108.0,2.03342375548695,1,1,119,31,2.89,3,56,2025-08-30,IT027042B4EVZI32NW
591117347813552698,145813573,Isole,San Marco,Entire home/apt,45.43665,12.33663,390.0,390.0,2.591064607026499,2,2,8,2,0.2,4,278,2025-07-08,IT027042B4FDC4NZUT
591898693929546336,451485740,Isole,Cannaregio,Entire home/apt,45.44564,12.32339,135.0,135.0,2.130333768495006,5,5,100,17,2.47,1,134,2025-07-18,IT027042C26ZPB82A7
592347982470496885,451591183,Isole,Cannaregio,Entire home/apt,45.44035,12.34084,130.0,130.0,2.113943352306837,1,1,99,61,2.37,1,305,2025-08-21,IT027042B45KU3O8H2
592400705487894803,103640525,Isole,Cannaregio,Entire home/apt,45.4474,12.33138,109.0,109.0,2.037426497940624,1,1,204,47,4.86,5,298,2025-08-19,IT027042C2G6HBNOR7
592486118094465887,65876025,Isole,Cannaregio,Entire home/apt,45.44783,12.32941,178.0,178.0,2.250420002308894,2,2,163,44,3.91,13,158,2025-08-21,IT027042C2IT3TRNHJ
592493829890516732,2030045,Isole,Castello,Entire home/apt,45.432549,12.35569,108.0,108.0,2.03342375548695,3,3,178,37,4.49,4,261,2025-08-02,IT027042C2PBP4NQF8
592572919287113618,5618111,Isole,Cannaregio,Entire home/apt,45.44138,12.33719,289.0,289.0,2.4608978427565478,1,1,102,23,2.45,77,313,2025-08-08,IT027042B4529L8534
592707754645165495,451669146,Terraferma,Piave 1860,Private room,45.48489,12.22731,53.0,53.0,1.7242758696007892,1,1,166,9,3.96,2,221,2025-09-07,IT027042C2KDZXXE3V
592826951537097168,126941407,Isole,Santa Croce,Entire home/apt,45.44129,12.3282,107.0,107.0,2.0293837776852097,2,2,121,25,2.89,7,323,2025-08-08,it027042b46iwuicjs
593175134318146055,451762594,Isole,San Polo,Entire home/apt,45.43555,12.32776,118.0,118.0,2.0718820073061255,2,2,341,73,8.28,4,338,2025-08-17,IT027042B4SA8ZF2DR
